index,original_gen_str,reason
394," description
0.39 0.21 0.27
Er
0.89 0.21 0.77
Er
0.89 0.71 0.27
Er
0.39 0.71 0.77
Ga
0.39 0.71 0.27
Ga
0.39 0.21 0.77
Ga
0.89 0.21 0.27
Ga
0.89 0.71 0.77
O
0.73 0.21 0.11
O
0.73 0.71 0.61
O
0.04 0.71 0.94
O
0.04 0.21 0.44
O
0.39 0.54 0.11
O
0.89 0.04 0.61
O
0.89 0.38 0.94
O
0.39 0.88 0.44
O
0.55 0.88 0.11
O
0.55 0.38 0.61
O
0.22 0.04 0.94
O
0.22 0.54 0.44
O
0.55 0.21 0.94
O
0.55 0.71 0.44
O
0.22 0.71 0.11
O
0.22 0.21 0.61
O
0.89 0.87 0.28
O
0.89 0.37 0.78
O
0.89 0.55 0.28
O
0.39 0.05 0.78
O
0.05 0.71 0.62
O
0.05 0.21 0.12
O
0.72 0.21 0.43
O
0.72 0.71 0.93
0.05 0.54 0.78
O
0.72 0.54 0.78
O
0.05 0.88 0.78
O
0.72 0.88 0","Invalid structure: lengths=3, angles=0, species=3"
535," description of the lattice and 6.9
90 90 90
Pd
0.51 0.57 0.65
Pd
0.01 0.07 0.15
Pd
0.01 0.07 0.65
Pd
0.51 0.57 0.15
Pd
0.36 0.90 0.90
Pd
0.86 0.84 0.40
Pd
0.66 0.40 0.40
Pd
0.16 0.34 0.90
Pd
0.77 0.96 0.90
Pd
0.25 0.78 0.40
Pd
0.27 0.28 0.40
Pd
0.75 0.46 0.90
Pb
0.01 0.57 0.65
Pb
0.51 0.07 0.15
Pb
0.51 0.07 0.65
Pb
0.01 0.57 0.15
S
0.28 0.34 0.65
S
0.78 0.40 0.15
S
0.75 0.84 0.15
S
0.25 0.90 0.65
S
0.25 0.90 0.15
S
0.75 0.84 0.65
S
0.78 0.40 0.65
S
0.28 0.34 0.15ubl
0.64 0.73 0.90
bl
0.14 0.01 0.40
bl
0.38 0.23 0.40
bl
0.88 0.51 0.90
bl
0.07 0.66 0.40
bl
0.95 0.18 0.90
bl
0.57 0.68 0.40
bl
0.45 0.16 0.90b
0.94 0.73 0.90
Pb
0.44","Invalid structure: lengths=3, angles=0, species=8"
538," description of the lattice lattice and 90 90 120
Er
0.16 0.05 0.60
Er
0.50 0.72 0.10
Er
0.83 0.39 0.35
Er
0.83 0.39 0.85
Zn
0.00 0.72 0.10
Zn
0.66 0.05 0.60
Zn
0.49 0.22 0.10
Zn
0.16 0.55 0.60
Zn
0.66 0.55 0.60
Zn
0.00 0.22 0.10
Zn
0.33 0.89 0.35
Zn
0.33 0.39 0.35
Zn
0.83 0.89 0.35
Zn
0.33 0.89 0.85
Zn
0.33 0.39 0.85
Zn
0.83 0.89 0.85
0.50 0.72 0.44
Zn
0.16 0.05 0.95
Zn
0.16 0.05 0.26
Zn
0.50 0.72 0.76
Zn
0.99 0.72 0.60
Zn
0.67 0.05 0.10
Zn
0.50 0.22 0.60
Zn
0.16 0.55 0.10
Zn
0.99 0.22 0.60
Zn
0.67 0.55 0.10
Zn
0.33 0.89 0.85
0.83 0.89 0.10
Zn
0.33 0.39 0.60
Zn
0.33 0.39 0.10
0.83 0.39 0.60
0.83 0.39 0.10
0.50 0.72 0.85
Zn
0.16","Invalid structure: lengths=3, angles=0, species=11"
622," description of the lattice type and 90
112 90 90
Sm
0.55 0.65 0.91
Sm
0.05 0.89 0.66
Sm
0.55 0.40 0.16
Sm
0.05 0.14 0.41
Al
0.55 0.89 0.16
Al
0.05 0.65 0.41
Al
0.55 0.15 0.91
Al
0.05 0.40 0.66
Al
0.70 0.02 0.54
Al
0.20 0.53 0.03
Al
0.70 0.53 0.53
Al
0.20 0.02 0.04
Ni
0.81 0.91 0.92
Ni
0.31 0.64 0.65
Ni
0.78 0.16 0.15
Ni
0.28 0.39 0.42
Ni
0.78 0.64 0.17
Ni
0.28 0.90 0.40
Ni
0.81 0.39 0.90
Ni
0.31 0.16 0.67
0.38 0.02 0.03
Ni
0.88 0.52 0.53
Ni
0.21 0.26 0.80
Ni
0.71 0.29 0.77
Ni
0.38 0.52 0.53
Ni
0.88 0.02 0.03
Ni
0.71 0.76 0.30
Ni
0.21 0.79 0.27
0.70 0.26 0.53
Ni
0.20 0.29 0.03
Ni
0.70 0.52 0.77
Ni
0.20 0.52 0.80
Ni
0.89 0.79 0.03
Ni
0.39 0.76 0.53
Ni
0.89 0.52 0","Invalid structure: lengths=3, angles=0, species=7"
678," description of the lattice and zero is 5.9
90 90 90
Mn
0.45 0.58 0.34
Mn
0.95 0.08 0.84
Mn
0.45 0.58 0.84
Ga
0.95 0.08 0.34
Ga
0.29 0.25 0.09
Ga
0.11 0.74 0.60
Ga
0.79 0.42 0.60
Ga
0.62 0.92 0.09
Ni
0.62 0.25 0.34
Ni
0.29 0.92 0.84
Ni
0.12 0.42 0.84
Ni
0.79 0.75 0.34
Ni
0.11 0.74 0.09
Ni
0.79 0.43 0.09
Ni
0.61 0.92 0.59
Ni
0.29 0.25 0.59
Ni
0.79 0.74 0.88
Ni
0.12 0.43 0.30
Ni
0.29 0.92 0.38
Ni
0.62 0.25 0.80
0.28 0.59 0.10
Ni
0.63 0.59 0.10
Ni
0.29 0.58 0.60
Ni
0.12 0.08 0.09
Ni
0.78 0.09 0.09
Ni
0.62 0.08 0.59
Ni
0.79 0.58 0.59
Ni
0.13 0.09 0.60
Ni
0.45 0.41 0.09
Ni
0.45 0.76 0.09
Ni
0.45 0.76 0.59
Ni
0.95 0.26 0.09
Ni
0.95 0.91 0.09
Ni
0.95 0.92 0.59
Ni
0.","Invalid structure: lengths=3, angles=0, species=14"
716," description of the lattice
107 107 107
Er
0.58 0.09 0.62
Er
0.38 0.02 0.06
Er
0.12 0.53 0.86
Er
0.64 0.34 0.33
Er
0.86 0.91 0.27
Er
0.03 0.46 0.39
Cu
0.08 0.03 0.83
Cu
0.53 0.96 0.36
Cu
0.15 0.53 0.12
Cu
0.12 0.83 0.33
Cu
0.62 0.60 0.91
Cu
0.89 0.42 0.77
Cu
0.36 0.45 0.55
Cu
0.65 0.28 0.87
Ge
0.78 0.69 0.49
Ge
0.28 0.19 0.99
Ge
0.96 0.11 0.51
Ge
0.30 0.85 0.67
Ge
0.46 0.67 0.22
Ge
0.20 0.76 0.07
Ge
0.82 0.25 0.11
Ge
0.46 0.37 0.73
0.86 0.71 0.99
Ge
0.29 0.58 0.45
Ge
0.73 0.21 0.61
Ge
0.28 0.35 0.22
0.54 0.19 0.97
0.04 0.22 0.48
0.78 0.69 0.71
0.23 0.11 0.72
0.80 0.25 0.93
0.57 0.73 0.20
0.00 0.91 0.60
0.22 0.75 0.73
0.74 0.66 0.44
0.05 0","Invalid structure: lengths=3, angles=0, species=3"
721," description
0.79 0.05 0.44
Description
0.29 0.55 0.94
Ce
0.54 0.05 0.94
Ce
0.04 0.05 0.94
Ce
0.29 0.80 0.44
Ce
0.29 0.30 0.44
Mg
0.79 0.80 0.19
Mg
0.79 0.30 0.69
Mg
0.79 0.80 0.69
Mg
0.79 0.30 0.19
0.56 0.55 0.44
Mg
0.02 0.55 0.44
Mg
0.29 0.78 0.94
Mg
0.29 0.32 0.94
0.29 0.05 0.20
Mg
0.56 0.05 0.44
Mg
0.03 0.05 0.44
Mg
0.79 0.31 0.94
Mg
0.79 0.79 0.94
Mg
0.29 0.55 0.67
0.54 0.81 0.19
Mg
0.04 0.29 0.69
Mg
0.04 0.29 0.19
Mg
0.54 0.81 0.69
Mg
0.04 0.81 0.19
Mg
0.54 0.29 0.69
Mg
0.54 0.29 0.19
Mg
0.04 0.81 0.69
Mg
0.04 0.55 0.94
Mg
0.54 0.55 0.94
Mg
0.29 0.80 0.19
Mg
0.29 0.30 0.69
Mg
0.04 0.05 0.44
Mg
0.79 0.80 0.44
M","Invalid structure: lengths=3, angles=0, species=17"
753," description
0.67 0.82 0.64
Sr
0.92 0.07 0.14
Sr
0.17 0.32 0.64
Sr
0.42 0.57 0.14
S
0.43 0.08 0.14
S
0.68 0.33 0.64
S
0.92 0.58 0.14
S
0.17 0.83 0.64
0.17 0.82 0.14
S
0.42 0.07 0.64
S
0.67 0.32 0.14
S
0.92 0.57 0.64
0.67 0.82 0.14
S
0.92 0.07 0.64
0.17 0.32 0.14
0.42 0.57 0.64
0.67 0.57 0.89
S
0.92 0.82 0.39
S
0.17 0.07 0.89
S
0.42 0.32 0.39
S
0.67 0.57 0.39
S
0.92 0.82 0.89
S
0.17 0.07 0.39
0.42 0.32 0.89
0.67 0.07 0.39
S
0.92 0.32 0.89
S
0.17 0.57 0.39
0.42 0.82 0.89
S
0.67 0.07 0.89
S
0.92 0.32 0.39
S
0.17 0.57 0.89
0.42 0.07 0.39
S
0.67 0.32 0.89
S
0.92 0.57 0.39
0.17 0.82 0.89
S
0.42 0.07 0.89
S","Invalid structure: lengths=3, angles=0, species=13"
780," description
0.47 0.56 0.05
Sm
0.97 0.06 0.55
Sm
0.97 0.56 0.55
Sm
0.47 0.06 0.55
Cu
0.72 0.81 0.05
Cu
0.22 0.31 0.05
Cu
0.47 0.56 0.55
Cu
0.97 0.06 0.05
Cu
0.97 0.56 0.05
Cu
0.47 0.06 0.05
O
0.98 0.81 0.71
O
0.96 0.31 0.38
O
0.23 0.05 0.71
O
0.73 0.07 0.38
O
0.23 0.57 0.38
O
0.73 0.55 0.71
O
0.46 0.82 0.71
O
0.48 0.31 0.38
O
0.98 0.31 0.88
O
0.96 0.81 0.21
O
0.73 0.07 0.88
O
0.23 0.05 0.21
O
0.73 0.55 0.21
O
0.23 0.57 0.88
O
0.46 0.31 0.71
O
0.48 0.82 0.38
O
0.72 0.81 0.55
O
0.22 0.31 0.55
0.22 0.31 0.22
O
0.72 0.81 0.87
0.72 0.31 0.55
0.72 0.31 0.05
O
0.22 0.81 0.55
O
0.22 0.81 0.05
0.22 0.81 0.22
O
0.72 0.31 0.87","Invalid structure: lengths=3, angles=0, species=3"
931," description
0.27 0.02 0.01
H
0.67 0.02 0.01
H
0.26 0.02 0.62
H
0.26 0.62 0.01
H
0.26 0.02 0.40
H
0.87 0.43 0.62
H
0.87 0.61 0.82
H
0.06 0.43 0.82
H
0.26 0.83 0.21
H
0.67 0.83 0.01
H
0.67 0.02 0.82
H
0.48 0.02 0.82
H
0.26 0.61 0.01
H
0.87 0.61 0.21
H
0.87 0.83 0.01
H
0.06 0.61 0.01
H
0.26 0.83 0.82
H
0.48 0.02 0.21
H
0.67 0.43 0.01
H
0.48 0.61 0.01
H
0.67 0.83 0.21
H
0.07 0.43 0.61
H
0.07 0.61 0.42
H
0.87 0.22 0.61
H
0.87 0.61 0.61
H
0.07 0.61 0.81
H
0.07 0.81 0.61
H
0.48 0.83 0.42
H
0.48 0.61 0.61
H
0.68 0.22 0.42
H
0.68 0.61 0.42
H
0.48 0.61 0.22
H
0.48 0.43 0.42
H
0.68 0.43 0.22
0.92 0.37 0.77
H
0.92 0.76 0","Invalid structure: lengths=3, angles=0, species=1"
936," description
1.00 1.00 3.4
description
0.50 0.50 0.50
O
1.00 0.50 0.47
O
0.50 1.00 0.47
0.21 0.29 0.97
O
0.78 0.71 0.97
0.28 0.79 0.96
O
0.71 0.21 0.96
0.75 0.74 0.47
O
0.25 0.24 0.47
0.82 0.18 0.47
O
0.32 0.81 0.47
0.19 0.68 0.47
O
0.69 0.31 0.47
0.66 0.77 0.96
O
0.27 0.15 0.96
O
0.77 0.27 0.97
O
0.16 0.65 0.97
0.84 0.33 0.97
O
0.34 0.83 0.97
0.59 0.09 0.47
O
0.09 0.59 0.47
0.93 0.43 0.46
O
0.43 0.93 0.46
0.01 0.00 0.91
O
0.51 0.50 0.02
0.62 0.91 0.97
O
0.12 0.40 0.97
O
0.92 0.20 0.97
O
0.41 0.70 0.97
O
0.12 0.41 0.47
O
0.62 0.90 0.47
O
0.42 0.70 0.47
O
0.92 0.20 0.47
0.01 0.50 0.98
O
0.51 0.00 0.98
0","Invalid structure: lengths=3, angles=0, species=12"
950," description
0.70 0.27 0.34
Ni
0.52 0.57 0.26
Ni
0.01 0.07 0.76
Ni
0.02 0.07 0.36
Ni
0.52 0.57 0.86
Ni
0.02 0.69 0.38
Ni
0.52 0.19 0.88
Ni
0.52 0.95 0.34
Ni
0.02 0.45 0.84
Ni
0.89 0.57 0.34
Ni
0.39 0.07 0.84
Ni
0.14 0.07 0.34
Ni
0.65 0.57 0.84
Ni
0.52 0.57 0.56
Ni
0.02 0.07 0.06
Ni
0.77 0.82 0.11
Ni
0.27 0.32 0.61
Ni
0.27 0.32 0.11
Ni
0.77 0.82 0.61
Ni
0.02 0.57 0.16
Ni
0.52 0.07 0.66
Ni
0.27 0.82 0.57
Ni
0.77 0.32 0.07
Ni
0.77 0.32 0.65
Ni
0.27 0.82 0.15
Ni
0.27 0.32 0.36
Ni
0.77 0.82 0.86
Ni
0.02 0.57 0.66
0.02 0.57 0.49
Ni
0.52 0.07 0.99
Ni
0.27 0.82 0.86
0.77 0.32 0.36
0.52 0.07 0.49
0.02 0.57 0.99
0.35 0.44 0.82
Ni
0.85 0.94 0.","Invalid structure: lengths=3, angles=0, species=3"
979," description of the lattice type and angles:
 Zn2
Pd
0.36 0.22 0.65
Pd
0.86 0.72 0.65
Pd
0.36 0.72 0.15
Pd
0.86 0.22 0.15
Ga
0.15 0.51 0.94
Ga
0.57 0.93 0.35
Ga
0.07 0.01 0.44
Ga
0.65 0.43 0.44
Ga
0.65 0.01 0.85
Ga
0.07 0.43 0.35
Ga
0.15 0.93 0.94
Ga
0.57 0.51 0.94
Ga
0.36 0.22 0.15
Ga
0.86 0.72 0.15
Ga
0.86 0.22 0.65
Ga
0.36 0.72 0.65uc
0.21 0.37 0.50
Ga
0.71 0.87 0.00
Ga
0.71 0.37 0.00
Ga
0.71 0.87 0.50
Ga
0.71 0.37 0.50
Ga
0.21 0.87 0.50
Ga
0.21 0.87 0.00
Ga
0.21 0.37 0.00
Ga
0.46 0.12 0.50
Ga
0.46 0.62 0.50
Ga
0.96 0.12 0.00
Ga
0.96 0.62 0.00
Ga
0.46 0.12 0.00
Ga
0.46 0.62 0.00
Ga
0.96 0.12 0.50
Ga
0.96 0.62 0.50uc
0.46 0.12 0.75
Ga
0.46 0.62 0.75
Ga
0.96 0.","Invalid structure: lengths=3, angles=0, species=16"
1005," description
0.90 0.49 0.29
Ag
0.65 0.24 0.79
Ag
0.15 0.74 0.79
Ag
0.40 0.99 0.29
S
0.39 0.24 0.52
S
0.40 0.74 0.56
S
0.89 0.24 0.06
S
0.90 0.74 0.02
0.90 0.24 0.51
S
0.40 0.74 0.08
S
0.40 0.24 0.01
S
0.90 0.74 0.58
0.58 0.61 0.44
S
0.23 0.37 0.64
S
0.08 0.11 0.14
S
0.73 0.87 0.94
0.08 0.56 0.50
S
0.72 0.43 0.08
S
0.58 0.06 0.58
S
0.22 0.93 1.00
0.81 0.87 0.40
S
0.99 0.11 0.78
S
0.31 0.37 0.28
S
0.49 0.61 0.90
0.23 0.82 0.48
S
0.58 0.16 0.10
S
0.73 0.32 0.60
S
0.08 0.66 0.98
0.06 0.35 0.94
S
0.74 0.63 0.64
S
0.56 0.85 0.14
S
0.24 0.13 0.44
0.50 0.09 0.91
S
0.30 0.89 0.67
S
0.00 0.59 0.17
S
0.80 0.39 0.41","Invalid structure: lengths=3, angles=0, species=12"
1023," description of the lattice and 3.4
80 90 90
In
0.16 0.84 0.22
In
0.66 0.41 0.12
In
0.16 0.41 0.62
In
0.66 0.84 0.72
H
0.32 0.80 0.52
H
0.82 0.45 0.82
H
0.99 0.45 0.32
H
0.49 0.80 0.02
O
0.32 0.93 0.52
O
0.82 0.32 0.82
O
0.99 0.32 0.32
O
0.49 0.93 0.02
O
0.82 0.89 0.28
O
0.32 0.36 0.06
O
0.49 0.36 0.56
O
0.99 0.89 0.78
0.32 0.68 0.65
O
0.82 0.57 0.70
O
0.99 0.57 0.20
O
0.49 0.68 0.15
0.82 0.88 0.99
O
0.32 0.36 0.35
O
0.49 0.36 0.85
O
0.99 0.88 0.49
0.82 0.62 0.54
O
0.32 0.62 0.81
O
0.49 0.62 0.31
O
0.99 0.62 0.04
0.32 0.81 0.98
O
0.82 0.43 0.36
O
0.99 0.43 0.86
O
0.49 0.81 0.48
0.16 0.12 0.12
0.66 0.12 0.12
O
0.16 0.12 0.62","Invalid structure: lengths=3, angles=0, species=6"
