index,original_gen_str,reason
753," the.78 1.00 1.00
Sr
0.49 0.28 0.84
Sr
0.99 0.78 0.34
S
0.79 0.71 0.84
S
0.18 0.85 0.84
S
0.68 0.35 0.34
S
0.29 0.21 0.34","Invalid structure: lengths=3, angles=0, species=0"
771," the formula is YSiPt2
0.07 0.34 0.94
1.00 0.73 0.67
1.00 0.73 0.17
1.00 0.23 0.67
1.00 0.23 0.17
1.00 0.34 0.39
1.00 0.84 0.94
1.00 0.84 0.39
1.00 0.34 0.67
1.00 0.84 0.67
1.00 0.23 0.94
Si
0.50 0.53 0.81
Si
0.50 0.03 0.81
Si
0.50 0.53 0.31
Si
0.50 0.03 0.31
Pt
0.50 0.03 0.06
Pt
0.50 0.53 0.06
Pt
0.50 0.03 0.56
Pt
0.50 0.53 0.56","Invalid structure: lengths=3, angles=3, species=0"
790," of.02 0.02 1.00
0.61 0.02 0.50
0.02 0.41 0.50
Tl
0.35 0.70 0.69
Tl
0.73 0.70 0.19
Tl
0.35 0.33 0.19
Se
0.85 0.21 0.70
Se
0.85 0.21 0.20
Se
0.20 0.87 0.37
Se
0.56 0.87 0.87","Invalid structure: lengths=3, angles=3, species=0"
847," the.74 0.91 0.04
The band gap is 0.0.Generate an element that could replace the lattice element and then the coordinates for each atom:
5.3 5.3 4.5
90 90 120
Pa
0.02 0.95 0.48
Pa
0.35 0.62 0.98
Ni
0.84 0.61 0.98
Ni
0.36 0.13 0.98
Ni
0.84 0.13 0.98
Ni
0.53 0.96 0.48
Ni
0.01 0.44 0.48
Ni
0.53 0.44 0.48","Invalid structure: lengths=3, angles=0, species=8"
891," the
0.75 0.87 1.00
H
0.36 0.30 0.57
H
0.14 0.44 0.41
Cr
0.75 0.37 0.50
Cr
0.25 0.87 0.50
O
0.72 0.18 0.39
O
0.78 0.56 0.59
O
0.20 0.06 0.59
O
0.29 0.68 0.39
O
0.70 0.35 0.73
O
0.79 0.39 0.26
O
0.20 0.89 0.26
O
0.29 0.85 0.73","Invalid structure: lengths=3, angles=0, species=0"
900," is 6.4 6.4
143 143 52
Ca
0.10 0.06 0.42
P
0.46 0.43 0.42
P
0.74 0.70 0.42
Rh
0.35 0.81 0.92
Rh
0.85 0.31 0.92","Invalid structure: lengths=3, angles=0, species=0"
932," the at.
0.50 0.09 0.00
Theat.
1.00 0.59 0.50
Re
0.50 0.59 0.50
Re
0.50 0.09 0.50
Re
0.00 0.59 0.00
Re
0.00 0.09 0.00
Re
0.75 0.34 0.75
Re
0.75 0.84 0.75
Re
0.25 0.34 0.25
Re
0.25 0.84 0.25
Ir
0.75 0.34 0.25
Ir
0.75 0.84 0.25
Ir
0.25 0.34 0.75","Invalid structure: lengths=3, angles=0, species=0"
977," the.35 0.35 0.31
C
0.99 0.69 0.88
C
0.35 0.01 0.88
C
0.62 0.35 0.88
Te
0.35 0.35 0.70
O
0.02 0.71 0.76
O
0.26 0.69 0.76
O
0.99 0.44 0.76
O
0.35 0.35 0.53
O
0.98 0.69 0.02
O
0.35 0.35 0.02
O
0.63 0.01 0.02","Invalid structure: lengths=3, angles=0, species=0"
1020," the
0.85 0.34 .56
the
0.51 0.68 0.56
the
0.17 0.01 0.56
Sr
0.35 0.18 0.06
Sr
0.01 0.51 0.06
Sr
0.67 0.85 0.06
Tl
0.85 0.01 0.33
Tl
0.51 0.34 0.33
Tl
0.17 0.68 0.33
Tl
0.85 0.34 0.88
Tl
0.51 0.68 0.88","Invalid structure: lengths=3, angles=0, species=0"
1091," is 3.9 3.9
119 119 90
Nd
0.70 0.80 0.33
Cu
0.45 0.05 0.83
S
0.20 0.30 0.33
O
0.95 0.55 0.83","Invalid structure: lengths=3, angles=0, species=0"
1183," the0.89 0.07 0.67
Zr
0.88 0.77 0.36
Zr
0.88 0.27 0.86
Zr
0.38 0.77 0.86
Zr
0.38 0.27 0.36
Ga
0.88 0.57 0.06
Ga
0.68 0.97 0.16
Ga
0.18 0.47 0.66
Ga
0.18 0.67 0.16
Ga
0.58 0.97 0.57
Ga
0.58 0.37 0.16
Ga
0.18 0.17 0.06
Ga
0.18 0.97 0.57
Ga
0.58 0.67 0.57
Ga
0.58 0.47 0.76
Ga
0.88 0.07 0.06
Ga
0.88 0.47 0.57
Co
0.18 0.97 0.26
Co
0.58 0.97 0.86
Co
0.58 0.67 0.26
Co
0.58 0.27 0.66
Co
0.18 0.47 0.36
Co
0.88 0.47 0.26
Co
0.38 0.97 0.26
Co
0.18 0.77 0.66","Invalid structure: lengths=3, angles=0, species=0"
1479," the0.62 1.00 0.40
F
0.62 0.73 0.72
F
0.62 0.26 0.17
Br
0.38 0.77 0.23
Br
0.62 0.50 0.40
Br
0.12 0.50 0.40
Br
0.62 0.00 0.90
Br
0.86 0.77 0.23
Br
0.12 0.00 0.40","Invalid structure: lengths=3, angles=0, species=0"
1502," the
0.91 0.19 0.45
Pd
0.66 0.45 0.69
Pd
0.16 0.95 0.19
Yb
0.39 0.24 0.91
Yb
0.70 0.73 0.41
Yb
0.20 0.69 0.54
Yb
0.89 0.40 0.04
Sn
0.66 0.95 0.19
Sn
0.16 0.45 0.69
Pd
0.89 0.68 0.89
Pd
0.60 0.18 0.53
Pd
0.21 0.20 0.28
Pd
0.39 0.91 0.78","Invalid structure: lengths=3, angles=0, species=0"
1569," the:0.50 0.58 1.00
C
0.31 0.92 0.68
C
0.69 0.24 0.31
F
0.60 0.30 0.15
F
0.39 0.87 0.84
F
0.30 0.92 0.52
F
0.69 0.24 0.47
F
0.77 0.36 0.79
F
0.22 0.81 0.20
F
0.77 0.75 0.29
F
0.22 0.41 0.70
F
0.21 0.22 0.21
F
0.78 0.94 0.78
F
0.29 0.41 0.21
F
0.71 0.75 0.78","Invalid structure: lengths=3, angles=0, species=0"
1599," the
0.60
0.06 0.79
0.27
Sm
0.26 0.15 0.15
Sm
0.76 0.65 0.65
S
0.98 0.27 0.65
S
0.06 0.06 0.65
Cl
0.44 0.97 0.65
Cl
0.55 0.47 0.43
Cl
0.55 0.47 0.87
Cl
0.87 0.28 0.93
Cl
0.87 0.28 0.37
Cl
0.16 0.55 0.43
Cl
0.16 0.55 0.87
Cl
0.48 0.95 0.15","Invalid structure: lengths=3, angles=0, species=0"
1624," the p.
0.50 0.51 0.29
C
0.85 0.87 0.58
C
0.16 0.16 0.99
I
0.85 0.87 0.09
I
0.16 0.16 0.48
O
0.86 0.37 0.50
O
0.86 0.87 0.65
O
0.86 0.11 0.08
O
0.15 0.87 0.08
O
0.16 0.67 0.50
O
0.16 0.37 0.97
O
0.16 0.92 0.50
O
0.41 0.16 0.50
O
0.50 0.51 0.79
O
0.50 0.51 0.29
O
0.61 0.87 0.08
O
0.61 0.16 0.97","Invalid structure: lengths=3, angles=0, species=0"
1631," the.48 0.48 0.45
C
0.54 0.18 0.82
C
0.04 0.68 0.08
As
0.25 0.89 0.84
As
0.75 0.97 0.06
As
0.33 0.38 0.06
As
0.83 0.49 0.84
Ru
0.04 0.98 0.06
Ru
0.54 0.88 0.84
Ru
0.04 0.48 0.56
Ru
0.54 0.38 0.33","Invalid structure: lengths=3, angles=0, species=0"
1644," the.16 0.14 0.52
Ti
0.81 0.29 0.66
Ti
0.27 0.52 0.02
Ti
0.49 0.79 0.52
Ti
0.99 0.02 0.16
Te
0.58 0.11 0.92
Te
0.70 0.61 0.26
Te
0.08 0.82 0.76
Te
0.20 0.32 0.42
Se
0.70 0.33 0.26
Se
0.08 0.60 0.92
Se
0.20 0.83 0.42
Se
0.58 0.10 0.76","Invalid structure: lengths=3, angles=0, species=0"
1662," the.00 1.00 1.00
30 0.15 0.08
Cs
0.88 0.90 0.86","Invalid structure: lengths=3, angles=0, species=0"
1712," the formula is Li5SnP3
0.66 0.26 0.90

.66 0.76 0.90
.66 0.26 0.40
Cl
0.34 0.53 0.12
Cl
0.98 0.98 0.68
Cl
0.34 0.08 0.12
Cl
0.98 0.43 0.68
Li
0.20 0.62 0.40
Li
0.12 0.90 0.40
Li
0.12 0.12 0.90
Li
0.20 0.40 0.90
Li
0.66 0.26 0.14
Li
0.66 0.26 0.66
Li
0.47 0.99 0.40
Li
0.85 0.52 0.40
Li
0.84 0.02 0.90
Li
0.49 0.49 0.90
Sn
0.16 0.76 0.90
Sn
0.66 0.76 0.40
P
0.34 0.54 0.61
P
0.99 0.97 0.18
P
0.34 0.08 0.61
P
0.99 0.43 0.18
P
0.51 0.55 0.61
P
0.82 0.96 0.18","Invalid structure: lengths=3, angles=3, species=0"
1815," the lattice is 4.0 4.0 4.0
90
90
90
0.62 0.84 0.92
Ga
0.12 0.34 0.42
Cu
0.62 0.34 0.42
Cu
0.12 0.84 0.42
Cu
0.12 0.34 0.92","Invalid structure: lengths=3, angles=0, species=0"
1850," the.99 0.58 1.00
0.42 0.86 0.72
0.81 0.73 0.50
In
0.62 0.45 0.20
In
0.02 0.06 0.10
In
0.21 0.16 0.60
In
0.61 0.45 0.71
Eu
0.41 0.86 0.31
Eu
0.21 0.15 0.00
Eu
0.81 0.75 0.90
Eu
0.02 0.06 0.50","Invalid structure: lengths=3, angles=3, species=0"
1939," the formula is BaCuSF
0.87 0.45 0.26
2.9 0.13 0.68
1.00 0.78 0.76
Ba
0.36 0.95 0.18
Cu
0.50 0.28 0.67
Cu
0.69 0.60 0.98
S
0.81 0.01 0.45
S
0.31 0.51 0.48
F
0.60 0.39 0.96","Invalid structure: lengths=3, angles=3, species=0"
1982," the.94 0.94 0.25
0.19 0.05 0.55
0.85 0.20 0.75
Mg
0.52 0.41 0.05
Mg
0.04 0.59 0.40
Mg
0.35 0.73 0.89","Invalid structure: lengths=3, angles=3, species=0"
2024," the formula is In
0.52 0.85 0.06
In
0.02 0.35 0.56
In
0.73 0.16 0.26
In
0.23 0.66 0.76
Pb
0.92 0.56 0.96
Pb
0.42 0.06 0.46
Pb
0.12 0.96 0.16
Pb
0.62 0.46 0.66","Invalid structure: lengths=3, angles=0, species=0"
2203," the c.05 1.00 0.65
0.61 0.50 0.38
0.11 0.50 0.15
Sm
0.90 0.00 0.99
Dy
0.40 0.00 0.88
Dy
0.29 0.50 0.59
Dy
0.79 0.50 0.49","Invalid structure: lengths=3, angles=3, species=0"
2283," the.77 0.77 0.45
0.88 0.46 0.58
0.75 0.16 0.73
Ir
0.53 0.40 0.90
Ir
0.08 0.40 0.90
Ir
0.21 0.16 0.07
Ir
0.95 0.83 0.99
Ir
0.74 0.11 0.08
Ir
0.45 0.83 0.99
Ir
0.59 0.40 0.40
Ir
0.44 0.83 0.49
Ir
0.09 0.40 0.40
Ir
0.32 0.11 0.58
Ir
0.94 0.84 0.49
Ru
0.25 0.66 0.68
Ru
0.02 0.90 0.73
Ru
0.69 0.66 0.68
Ru
0.38 0.46 0.18
Ru
0.52 0.90 0.73
Ru
0.82 0.66 0.18
Ru
0.19 0.66 0.18
Ru
0.69 0.16 0.33
Ru
0.88 0.46 0.00
Ru
0.03 0.00 0.23
Ru
0.37 0.00 0.23","Invalid structure: lengths=3, angles=3, species=0"
2287," the lattice coordinates:0.7 0.0 1.0
72 72 72
Zr
0.78 0.91 0.52
Zr
0.42 0.26 0.51
Zr
0.07 0.90 0.17
Zr
0.40 0.56 0.87
Zr
0.05 0.23 0.85
Au
0.40 0.91 0.85
Au
0.72 0.30 0.19
Au
0.80 0.67 0.22
Au
0.49 0.12 0.24
Au
0.73 0.24 0.61
Au
0.07 0.61 0.51
Au
0.43 0.57 0.54
Au
0.19 0.12 0.49
Au
0.08 0.32 0.27
Au
0.73 0.58 0.81
Au
0.11 0.86 0.86","Invalid structure: lengths=3, angles=0, species=0"
2468," the at.
0.95 0.91 0.83
Cd
0.45 0.41 0.33
Ag
0.95 0.41 0.33
Ag
0.95 0.91 0.33
Ag
0.45 0.91 0.33
Ag
0.45 0.41 0.83","Invalid structure: lengths=3, angles=0, species=0"
2471," is.25 0.25 0.53
0.61 0.56 0.96
0.11 0.06 0.03
Mn
0.33 0.39 0.14
Mn
0.83 0.89 0.84
Mn
0.98 0.73 0.34
Mn
0.48 0.23 0.64
Fe
0.39 0.83 0.99
Fe
0.89 0.33 0.99
Fe
0.48 0.73 0.34
Fe
0.98 0.23 0.64
As
0.18 0.49 0.83
As
0.68 0.99 0.15
As
0.69 0.60 0.63
As
0.19 0.10 0.35","Invalid structure: lengths=3, angles=3, species=0"
2606," the lattice vectors:0.60 0.05 0.00
111 108 108
Ba
0.91 0.02 0.93
Sr
0.91 0.52 0.43
Zr
0.41 0.02 0.43
Zr
0.41 0.52 0.93
Sn
0.91 0.52 0.93
Sn
0.41 0.52 0.43
O
0.10 0.72 0.84
O
0.60 0.32 0.01
O
0.11 0.12 0.23
O
0.61 0.92 0.63
O
0.42 0.23 0.73
O
0.41 0.81 0.13
O
0.71 0.73 0.33
O
0.31 0.31 0.52
O
0.00 0.31 0.63
O
0.22 0.73 0.43
O
0.72 0.12 0.23
O
0.51 0.92 0.83","Invalid structure: lengths=3, angles=0, species=0"
2613," the.93 ...0.06 1.00
23 55 58
Mg
0.22 0.95 0.21
Cd
0.23 0.45 0.21
Cd
0.73 0.95 0.71","Invalid structure: lengths=3, angles=0, species=0"
2729," the at.
1.00 1.00 1.00
1.00 0.67 0.68
1.00 0.34 0.36
H
0.19 0.34 0.82
H
0.80 0.34 0.82
H
0.19 0.00 0.60
H
0.80 0.00 0.60
H
0.80 0.66 0.06
H
0.19 0.66 0.06
O
0.23 0.22 0.78
O
0.76 0.22 0.78
O
0.23 0.11 0.53
O
0.76 0.11 0.53
O
0.76 0.78 0.03
O
0.23 0.78 0.03","Invalid structure: lengths=3, angles=3, species=0"
2734," the at.
0.79 0.41 1.00
at.
0.29 0.91 1.00
Nd
0.29 0.41 0.73
Nd
0.62 0.08 0.26
Nd
0.95 0.75 0.46
Nd
0.45 0.25 0.46
Mg
0.12 0.58 0.26
Mg
0.79 0.91 0.73
Ge
0.16 0.13 0.96
Ge
0.66 0.63 0.96
Ge
0.41 0.79 0.50
Ge
0.91 0.29 0.50","Invalid structure: lengths=3, angles=0, species=0"
2744," the atom type: 
H
1.00 0.60 0.71
H
0.26 0.25 0.71
H
0.74 0.75 0.21
H
0.49 0.10 0.21
H
0.95 0.55 0.04
H
0.20 0.30 0.04
H
0.79 0.80 0.54
H
0.53 0.05 0.54
H
0.95 0.33 0.54
H
0.20 0.52 0.54
H
0.79 0.02 0.04
H
0.53 0.83 0.04
B
0.87 0.18 0.65
B
0.62 0.43 0.65
B
0.12 0.93 0.15
B
0.37 0.68 0.15
N
0.87 0.43 0.65
N
0.62 0.18 0.65
N
0.12 0.68 0.15
N
0.37 0.93 0.15","Invalid structure: lengths=3, angles=0, species=0"
2761," is.10 0.20 0.11
Ru
0.41 0.53 0.63
Ru
0.91 0.03 0.63
Ru
0.91 0.53 0.13
Ni
0.41 0.03 0.13
O
0.21 0.43 0.98
O
0.71 0.93 0.98
O
0.71 0.43 0.48
O
0.21 0.93 0.48
O
0.66 0.72 0.23
O
0.16 0.23 0.73
O
0.16 0.72 0.80
O
0.66 0.23 0.80
O
0.41 0.38 0.30
O
0.91 0.88 0.30
O
0.91 0.38 0.73
O
0.41 0.88 0.73","Invalid structure: lengths=3, angles=0, species=0"
2794," the
0.48 0.85 0.78
the
0.89 0.46 0.48
La
0.49 0.86 0.27
La
0.88 0.45 0.99
Ga
0.01 0.15 0.68
Ga
0.36 0.16 0.58
Cu
0.04 0.85 0.83
Cu
0.33 0.46 0.43
Cu
0.01 0.86 0.43
Cu
0.36 0.45 0.83
O
0.94 0.86 0.68
O
0.43 0.45 0.58
O
0.06 0.85 0.09
O
0.32 0.46 0.18
O
0.06 0.31 0.72
O
0.32 0.99 0.55
O
0.94 0.31 0.28
O
0.43 0.99 0.98
O
0.66 0.85 0.46
O
0.70 0.46 0.80
O
0.36 0.12 0.29
O
0.01 0.19 0.97","Invalid structure: lengths=3, angles=0, species=0"
2825," the at. 2.7 2.7
90 90 119
Fe
0.65 0.78 0.18
Fe
0.98 0.45 0.68
Pt
0.31 0.12 0.93
Rh
0.31 0.12 0.43","Invalid structure: lengths=3, angles=0, species=0"
2944," the t
0.89 0.85 0.22
Rb
0.94 0.35 0.47
Rb
0.44 0.85 0.47
Na
0.94 0.85 0.72
Ce
0.44 0.35 0.97
F
0.20 0.62 0.23
F
0.20 0.08 0.23
F
0.71 0.09 0.71
F
0.71 0.62 0.71
F
0.18 0.09 0.95
F
0.18 0.63 0.95
F
0.69 0.62 0.01
F
0.69 0.09 0.01
F
0.44 0.35 0.25
F
0.44 0.35 0.69
F
0.94 0.85 0.44","Invalid structure: lengths=3, angles=0, species=0"
3043," the
0.93 0.85 0.07
T
0.56 0.49 0.18
T
0.43 0.99 0.86
T
0.20 0.11 0.36
T
0.70 0.35 0.68
T
0.93 0.35 0.07
T
0.20 0.61 0.57
T
0.56 0.85 0.28
T
0.43 0.11 0.57
T
0.20 0.49 0.07
T
0.70 0.61 0.78
T
0.93 0.99 0.68
T
0.06 0.85 0.36
T
0.06 0.35 0.86
T
0.56 0.61 0.46
T
0.70 0.11 0.96
Ru
0.70 0.20 0.27
Ru
0.20 0.20 0.77
Ru
0.43 0.70 0.97
Ru
0.43 0.50 0.77
Ru
0.20 0.70 0.27
Ru
0.93 0.20 0.47
Ru
0.70 0.00 0.47
Ru
0.93 0.50 0.47
Ru
0.93 0.00 0.27
Ru
0.43 0.20 0.97
Ru
0.20 0.70 0.77
Ru
0.70 0.70 0.97","Invalid structure: lengths=3, angles=0, species=0"
3047," the at.
0.91 0.57 1.00
1.00 1.00 0.74
1.00 1.00 0.24
1.00 0.50 0.74
1.00 1.00 0.24
Cu
0.71 0.38 0.37
Cu
0.71 0.38 0.87
Cu
0.29 0.20 0.87
Cu
0.29 0.20 0.37
Sb
0.66 0.67 0.50
Sb
0.66 0.67 1.00
Sb
0.33 0.92 0.50
Sb
0.33 0.92 1.00","Invalid structure: lengths=3, angles=3, species=0"
3058," the
0.56 1.00 0.68
the
0.06 0.50 0.18
Y
0.81 0.00 0.18
Y
0.31 0.50 0.68
Y
0.56 0.50 0.36
Si
0.06 0.82 0.47
Si
0.06 0.19 0.47
Si
0.70 0.82 0.47
Si
0.06 0.82 0.88
Si
0.06 0.19 0.88
Si
0.38 0.19 0.88
Rh
0.32 0.00 0.09
Rh
0.82 0.50 0.59
Rh
0.56 0.25 0.08
Rh
0.56 0.75 0.08","Invalid structure: lengths=3, angles=0, species=0"
3068," the
0.33 1.00 1.00
Na
0.25 0.86 0.35
Li
0.62 0.60 0.59
La
0.74 0.50 0.86
La
0.12 0.10 0.60
Ti
0.61 0.09 0.19
Ti
0.12 0.59 0.19
Ti
0.76 0.90 0.47
Ti
0.26 0.41 0.47
O
0.56 0.67 0.05
O
0.06 0.15 0.05
O
0.76 0.90 0.25
O
0.26 0.40 0.26
O
0.69 0.03 0.69
O
0.19 0.53 0.69
O
0.86 0.78 0.60
O
0.36 0.28 0.61
O
0.60 0.13 0.43
O
0.10 0.63 0.44
O
0.62 0.60 0.33
O
0.12 0.10 0.34","Invalid structure: lengths=3, angles=0, species=0"
3139," the e.0114 0.00 0.66
0.53 0.60 0.01
Sr
0.21 0.33 0.34
Sr
0.03 0.83 0.16
Sr
0.71 0.10 0.51
Sr
0.53 0.60 0.66
Sr
0.21 0.33 0.84
Sr
0.03 0.83 0.51
Sr
0.71 0.10 0.16
Sr
0.53 0.60 0.34
O
0.88 0.45 0.09
O
0.36 0.96 0.09
O
0.36 0.96 0.59
O
0.88 0.45 0.59
O
0.38 0.46 0.09
O
0.86 0.95 0.09
O
0.86 0.95 0.59
O
0.38 0.46 0.59","Invalid structure: lengths=3, angles=0, species=0"
3174," the coordinates for the atom type and coordinates for each atom:0.61 0.94 h.e.
65 90 90
Tm
0.61 0.36 0.80
Tm
0.11 0.86 0.80
Cu
0.36 0.61 0.30
Ge
0.36 0.21 0.47
Ge
0.86 0.02 0.13
Ge
0.86 0.61 0.47
Ge
0.36 0.71 0.99
O
0.66 0.96 0.97
O
0.36 0.72 0.72
O
0.16 0.41 0.63
O
0.56 0.91 0.63
O
0.86 0.02 0.37
O
0.36 0.69 0.19
O
0.66 0.42 0.46
O
0.86 0.66 0.69
O
0.16 0.91 0.46
O
0.36 0.19 0.92
O
0.06 0.41 0.97
O
0.06 0.92 0.13","Invalid structure: lengths=3, angles=0, species=0"
3264," of.05 0.05 0.01
Co
0.88 0.55 0.63
Co
0.38 0.55 0.63
Co
0.63 0.05 0.63
S
0.13 0.55 0.44
S
0.63 0.55 0.44
S
0.88 0.05 0.44
S
0.38 0.05 0.44
S
0.88 0.35 0.80
S
0.38 0.35 0.80
S
0.63 0.85 0.80
S
0.13 0.85 0.80","Invalid structure: lengths=3, angles=0, species=0"
3293," the t0.42 1.00 0.48
Ti
0.34 0.34 0.74
Ti
0.97 0.67 0.22
Ti
0.97 0.16 0.74
Ti
0.34 0.84 0.22
Li
0.77 0.76 0.65
Li
0.54 0.25 0.32
Li
0.54 0.75 0.14
Li
0.77 0.26 0.83
V
0.05 0.40 0.48
V
0.25 0.61 0.48
V
0.25 0.11 0.98
V
0.05 0.90 0.98
Ir
0.77 0.48 0.48
Ir
0.54 0.57 0.48
Ir
0.54 0.07 0.98
Ir
0.77 0.98 0.98
Ir
0.10 0.52 0.98
Ir
0.10 0.02 0.48","Invalid structure: lengths=3, angles=0, species=0"
3390," the at.
0.00 0.66 0.56
 rest
0.50 0.16 0.06
K
0.48 0.75 0.77
K
0.53 0.57 0.27
K
0.93 0.06 0.46
K
0.08 0.26 0.96
Pa
0.01 0.66 0.06
Pa
0.50 0.16 0.56
F
0.17 0.78 0.29
F
0.84 0.54 0.79
F
0.68 0.00 0.19
F
0.33 0.32 0.69
F
0.30 0.25 0.34
F
0.71 0.07 0.84
F
0.81 0.82 0.15
F
0.19 0.50 0.65
F
0.91 0.37 0.17
F
0.10 0.96 0.67
F
0.40 0.04 0.47
F
0.61 0.29 0.97
F
0.37 0.85 0.01
F
0.64 0.47 0.51","Invalid structure: lengths=3, angles=0, species=0"
3417," the:0.67 0.0 1.00
a.c. 3.8 5.8
70 90 90
La
0.37 0.29 0.89
Pr
0.87 0.79 0.39
Co
0.37 0.61 0.25
Co
0.37 0.96 0.53
Co
0.87 0.20 0.62
Co
0.87 0.38 0.21
P
0.37 0.44 0.53
P
0.37 0.13 0.25
P
0.87 0.93 0.72
P
0.87 0.64 0.11","Invalid structure: lengths=3, angles=0, species=0"
