lengths,angles,species,coords
"[5.7, 5.5, 9.6]","[54.0, 90.0, 90.0]","['Eu', 'Eu', 'Eu', 'Eu', 'Mn', 'Mn', 'Rh', 'Rh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.4, 0.13, 0.8], [0.9, 0.66, 0.8], [0.25, 0.66, 0.3], [0.75, 0.13, 0.3], [0.83, 0.39, 0.55], [0.33, 0.39, 0.05], [0.83, 0.89, 0.05], [0.33, 0.89, 0.55], [0.77, 0.23, 0.8], [0.27, 0.56, 0.8], [0.88, 0.56, 0.3], [0.38, 0.23, 0.3], [0.63, 0.64, 0.0], [0.13, 0.15, 0.59], [0.05, 0.15, 0.09], [0.55, 0.64, 0.5], [0.04, 0.74, 0.09], [0.54, 0.05, 0.5], [0.64, 0.05, 0.0], [0.14, 0.74, 0.59]]"
"[7.3, 7.3, 7.3]","[146.0, 133.0, 58.0]","['Mg', 'Mg', 'Al', 'Al', 'Al', 'Al', 'Si', 'Si', 'Si', 'Si']","[[0.17, 0.21, 0.53], [0.83, 0.87, 0.53], [0.49, 0.55, 0.53], [0.32, 0.87, 0.03], [0.66, 0.2, 0.03], [0.0, 0.55, 0.03], [0.94, 0.37, 0.78], [0.6, 0.71, 0.78], [0.27, 0.05, 0.78], [0.45, 0.37, 0.29]]"
"[6.2, 6.2, 6.2]","[131.0, 131.0, 70.0]","['Y', 'Y', 'Y', 'Lu']","[[0.37, 0.61, 0.84], [0.87, 0.11, 0.84], [0.12, 0.86, 0.34], [0.62, 0.36, 0.34]]"
"[6.9, 6.9, 7.0]","[93.0, 93.0, 153.0]","['Mo', 'Mo', 'Mo', 'Mo', 'As', 'As', 'As', 'As', 'As', 'As', 'P', 'P']","[[0.86, 0.54, 0.11], [0.2, 0.5, 0.42], [0.83, 0.87, 0.76], [0.17, 0.83, 0.07], [0.75, 0.69, 0.43], [0.07, 0.42, 0.78], [0.47, 0.93, 0.1], [0.58, 0.23, 0.87], [0.74, 0.12, 0.21], [0.28, 0.12, 0.41], [0.06, 0.74, 0.69], [0.47, 0.43, 0.08]]"
"[7.5, 7.5, 5.0]","[90.0, 90.0, 120.0]","['Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'V', 'V', 'V', 'V', 'V', 'V', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']","[[0.79, 0.18, 0.14], [0.58, 0.62, 0.14], [0.24, 0.79, 0.14], [0.95, 0.89, 0.64], [0.14, 0.45, 0.64], [0.51, 0.34, 0.64], [0.55, 0.11, 0.14], [0.21, 0.42, 0.14], [0.88, 0.75, 0.14], [0.55, 0.42, 0.14], [0.21, 0.11, 0.14], [0.88, 0.75, 0.64], [0.78, 0.17, 0.64], [0.57, 0.63, 0.64], [0.26, 0.78, 0.64], [0.96, 0.9, 0.14], [0.13, 0.33, 0.14], [0.49, 0.45, 0.14], [0.88, 0.5, 0.14], [0.2, 0.06, 0.64], [0.67, 0.76, 0.14], [0.93, 0.43, 0.64], [0.32, 0.14, 0.14], [0.54, 0.03, 0.64]]"
"[7.4, 7.4, 7.4]","[59.0, 59.0, 59.0]","['Rb', 'Rb', 'Na', 'Cr', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']","[[0.49, 0.62, 0.87], [0.99, 0.12, 0.37], [0.24, 0.37, 0.62], [0.74, 0.87, 0.12], [0.51, 0.1, 0.35], [0.97, 0.1, 0.89], [0.97, 0.64, 0.89], [0.97, 0.64, 0.35], [0.51, 0.1, 0.89], [0.51, 0.64, 0.35]]"
"[4.7, 4.7, 10.3]","[90.0, 90.0, 90.0]","['Ce', 'Ce', 'In', 'In', 'In', 'In', 'Pt', 'Pt', 'Pt', 'Pt']","[[0.25, 0.39, 0.89], [0.75, 0.89, 0.37], [0.25, 0.89, 0.13], [0.75, 0.39, 0.13], [0.25, 0.39, 0.5], [0.75, 0.89, 0.76], [0.25, 0.89, 0.63], [0.75, 0.39, 0.63], [0.25, 0.39, 0.25], [0.75, 0.89, 0.01]]"
"[7.8, 7.8, 7.8]","[59.0, 59.0, 59.0]","['Rb', 'Rb', 'Ce', 'Cu', 'Br', 'Br', 'Br', 'Br', 'Br', 'Br']","[[0.6, 0.85, 0.63], [0.1, 0.35, 0.13], [0.35, 0.6, 0.38], [0.85, 0.1, 0.88], [0.6, 0.35, 0.13], [0.1, 0.35, 0.63], [0.1, 0.85, 0.63], [0.1, 0.85, 0.13], [0.6, 0.35, 0.63], [0.6, 0.85, 0.13]]"
"[9.5, 9.5, 9.5]","[154.0, 125.0, 61.0]","['La', 'La', 'Tm', 'Tm', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ir', 'Ir', 'Ir', 'Ir']","[[0.88, 0.85, 0.97], [0.4, 0.85, 0.49], [0.85, 0.06, 0.73], [0.43, 0.65, 0.73], [0.06, 0.27, 0.73], [0.22, 0.43, 0.73], [0.56, 0.27, 0.23], [0.72, 0.43, 0.23], [0.29, 0.05, 0.43], [0.98, 0.65, 0.03], [0.59, 0.05, 0.03], [0.69, 0.65, 0.43], [0.24, 0.2, 0.48], [0.04, 0.5, 0.98], [0.74, 0.2, 0.98], [0.54, 0.5, 0.48]]"
"[5.8, 5.8, 5.8]","[90.0, 90.0, 90.0]","['Cs', 'Yb', 'Br', 'Br', 'Br']","[[0.33, 0.6, 0.74], [0.83, 0.1, 0.24], [0.83, 0.6, 0.24], [0.83, 0.1, 0.74], [0.33, 0.1, 0.24]]"
"[0.88, 0.81, 6.9]","[89.0, 89.0, 119.0]","['Cr', 'Cr', 'Ag', 'Sn', 'Se', 'Se', 'Se', 'Se', 'S', 'S', 'S', 'S']","[[0.26, 0.44, 0.69], [0.93, 0.77, 0.69], [0.59, 0.11, 0.28], [0.59, 0.11, 0.84], [0.27, 0.78, 0.51], [0.92, 0.43, 0.51], [0.59, 0.43, 0.03], [0.59, 0.77, 0.51], [0.92, 0.11, 0.99], [0.26, 0.11, 0.47], [0.92, 0.43, 0.99], [0.26, 0.78, 0.99]]"
"[6.2, 6.2, 6.2]","[131.0, 131.0, 70.0]","['Tb', 'Sm', 'Sm', 'Sm']","[[0.51, 0.89, 0.49], [0.26, 0.14, 0.99], [0.76, 0.64, 0.99], [0.01, 0.39, 0.49]]"
"[5.9, 5.9, 7.2]","[90.0, 90.0, 140.0]","['Th', 'Th', 'Si', 'Si', 'Ru', 'Ru', 'Ru', 'Ru', 'C', 'C']","[[0.16, 0.4, 0.07], [0.06, 0.5, 0.57], [0.89, 0.67, 0.07], [0.34, 0.23, 0.57], [0.45, 0.12, 0.87], [0.77, 0.8, 0.77], [0.77, 0.8, 0.37], [0.45, 0.12, 0.27], [0.61, 0.95, 0.82], [0.61, 0.95, 0.32]]"
"[6.3, 6.3, 4.2]","[90.0, 90.0, 139.0]","['Eu', 'Eu', 'Al', 'Al', 'Al', 'Al', 'Ge', 'Ge']","[[0.26, 0.79, 0.51], [0.97, 0.08, 0.01], [0.54, 0.51, 0.51], [0.69, 0.36, 0.01], [0.19, 0.86, 0.01], [0.05, 0.0, 0.51], [0.43, 0.62, 0.01], [0.81, 0.25, 0.51]]"
"[4.2, 4.2, 4.2]","[59.0, 59.0, 59.0]","['Ta', 'Be', 'Ru', 'Ru']","[[0.22, 0.25, 0.32], [0.72, 0.75, 0.82], [0.97, 0.0, 0.07], [0.47, 0.5, 0.57]]"
"[6.7, 6.7, 6.7]","[146.0, 131.0, 60.0]","['Ca', 'Ga', 'Ga', 'P', 'P']","[[0.69, 0.17, 0.91], [0.36, 0.83, 0.91], [0.03, 0.51, 0.91], [0.53, 0.5, 0.41], [0.19, 0.17, 0.41]]"
"[0.74, 1.0, 1.0]",[],[],[]
"[7.5, 7.5, 7.5]","[132.0, 132.0, 69.0]","['Ac', 'Pm', 'Pm', 'Pm']","[[0.12, 0.7, 0.52], [0.87, 0.95, 0.02], [0.37, 0.45, 0.02], [0.62, 0.2, 0.52]]"
"[3.9, 3.9, 15.5]","[90.0, 90.0, 90.0]","['Sr', 'Sr', 'Sr', 'Sr', 'Fe', 'Fe', 'Cu', 'Cu', 'S', 'S', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.66, 0.43, 0.27], [0.66, 0.43, 0.72], [0.16, 0.93, 0.04], [0.16, 0.93, 0.5], [0.16, 0.93, 0.33], [0.16, 0.93, 0.66], [0.66, 0.43, 0.92], [0.66, 0.43, 0.92], [0.66, 0.43, 0.46], [0.66, 0.43, 0.09], [0.16, 0.93, 0.24], [0.16, 0.93, 0.75], [0.66, 0.93, 0.12], [0.66, 0.93, 0.39], [0.16, 0.43, 0.12], [0.16, 0.43, 0.39]]"
"[3.3, 3.3, 3.3]","[90.0, 90.0, 90.0]","['Be', 'Be', 'H', 'H', 'H', 'H']","[[0.57, 0.88, 0.48], [0.07, 0.38, 0.48], [0.57, 0.38, 0.25], [0.07, 0.88, 0.71], [0.57, 0.38, 0.71], [0.07, 0.88, 0.25]]"
"[5.0, 5.0, 5.0]","[59.0, 59.0, 59.0]","['Pm', 'Pm', 'Ru', 'Rh']","[[0.56, 0.29, 0.56], [0.06, 0.79, 0.06], [0.81, 0.54, 0.81], [0.31, 0.04, 0.31]]"
"[0.5, 5.7, 5.7]","[60.0, 90.0, 90.0]","['La', 'La', 'Cu', 'Cu', 'Pb', 'Pb']","[[0.16, 0.93, 0.86], [0.66, 0.26, 0.19], [0.89, 0.58, 0.53], [0.42, 0.61, 0.51], [0.66, 0.76, 0.69], [0.16, 0.42, 0.36]]"
"[3.9, 8.2, 13.4]","[90.0, 90.0, 90.0]","['Tb', 'Tb', 'Tb', 'Tb', 'Cr', 'Cr', 'Cr', 'Cr', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se']","[[0.49, 0.48, 0.52], [0.99, 0.62, 0.16], [0.99, 0.12, 0.02], [0.49, 0.98, 0.66], [0.49, 0.22, 0.84], [0.99, 0.88, 0.84], [0.99, 0.38, 0.34], [0.49, 0.72, 0.34], [0.49, 0.12, 0.26], [0.99, 0.98, 0.42], [0.99, 0.48, 0.76], [0.49, 0.62, 0.92], [0.49, 0.33, 0.05], [0.99, 0.76, 0.63], [0.99, 0.26, 0.55], [0.49, 0.83, 0.13], [0.49, 0.09, 0.88], [0.99, 0.01, 0.8], [0.99, 0.51, 0.38], [0.49, 0.59, 0.3]]"
"[5.8, 5.8, 5.8]","[134.0, 134.0, 66.0]","['Ag', 'Ag', 'Ag', 'Pd']","[[0.31, 0.83, 0.76], [0.81, 0.33, 0.76], [0.06, 0.08, 0.26], [0.56, 0.58, 0.26]]"
"[3.7, 6.4, 6.5]","[61.0, 90.0, 90.0]","['Sm', 'Sm', 'H', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.43, 0.48, 0.96], [0.93, 0.83, 0.31], [0.43, 0.98, 0.45], [0.43, 0.49, 0.46], [0.43, 0.98, 0.97], [0.93, 0.33, 0.82], [0.93, 0.81, 0.81], [0.93, 0.33, 0.3], [0.43, 0.89, 0.35], [0.43, 0.35, 0.59], [0.43, 0.09, 0.93], [0.93, 0.43, 0.92], [0.93, 0.62, 0.79], [0.93, 0.96, 0.08]]"
"[0.4, 6.7, 8.0]","[66.0, 85.0, 84.0]","['Li', 'Li', 'Li', 'Li', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'S', 'S', 'S', 'S', 'S', 'S']","[[0.04, 0.19, 0.28], [0.47, 0.41, 0.34], [0.63, 0.47, 0.03], [0.0, 0.72, 0.91], [0.34, 0.01, 0.66], [0.76, 0.78, 0.55], [0.29, 0.1, 0.02], [0.76, 0.87, 0.24], [0.78, 0.31, 0.64], [0.3, 0.57, 0.76], [0.79, 0.18, 0.94], [0.32, 0.73, 0.36], [0.93, 0.51, 0.34], [0.68, 0.07, 0.43], [0.91, 0.32, 0.05], [0.58, 0.88, 0.94], [0.12, 0.67, 0.64], [0.49, 0.24, 0.75]]"
"[6.4, 6.4, 5.0]","[90.0, 90.0, 119.0]","['Hf', 'Hf', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr']","[[0.13, 0.91, 0.71], [0.46, 0.58, 0.21], [0.96, 0.58, 0.21], [0.47, 0.08, 0.21], [0.96, 0.08, 0.21], [0.63, 0.91, 0.71], [0.13, 0.41, 0.71], [0.63, 0.41, 0.71]]"
"[7.8, 7.8, 3.8]","[90.0, 90.0, 90.0]","['Pr', 'Pr', 'Pr', 'Pr', 'In', 'In', 'Cu', 'Cu', 'Cu', 'Cu']","[[0.86, 0.95, 0.32], [0.51, 0.6, 0.32], [0.36, 0.1, 0.32], [0.01, 0.45, 0.32], [0.18, 0.78, 0.82], [0.68, 0.28, 0.82], [0.3, 0.4, 0.82], [0.06, 0.15, 0.82], [0.8, 0.65, 0.82], [0.56, 0.9, 0.82]]"
